id,block,german,spanish,pos,note,prio
1,1,ja,sí,func,,1
2,1,nein / nicht,no,func,,1
3,1,und,y,func,,1
4,1,oder,o,func,,1
5,1,aber,pero,func,,1
6,1,weil,porque,func,,2
7,1,mit,con,func,,1
8,1,ohne,sin,func,,2
9,1,für / um zu,para,func,,1
10,1,von / aus,de,func,,1
11,1,in / auf,en,func,,1
12,1,zu / nach,a,func,,1
13,1,sehr,muy,adv,,1
14,1,mehr,más,adv,,1
15,1,weniger,menos,adv,,2
16,1,auch,también,adv,,1
17,1,jetzt,ahora,adv,,1
18,1,danach / später,después,adv,después de = nach,2
19,1,immer,siempre,adv,,2
20,1,nie,nunca,adv,,2
21,1,hier,acá,adv,porteño für aquí,1
22,1,dort / da drüben,allá,adv,porteño für allí,2
23,1,heute,hoy,adv,,1
24,1,morgen,mañana,adv,Adverb; der Morgen = la mañana,1
25,1,gestern,ayer,adv,,2
26,1,etwas,algo,func,,1
27,1,nichts,nada,func,,1
28,1,alles,todo,func,,2
29,1,ein anderer / noch ein,otro,adj,,2
30,1,derselbe / gleich,mismo,adj,lo mismo = das Gleiche,3
31,1,schon,ya,adv,,1
32,1,noch,todavía,adv,,2
33,1,fast,casi,adv,,3
34,1,nur,solo,adv,ohne Akzent,2
35,1,ziemlich / genug,bastante,adv,,3
36,1,zu viel / zu sehr,demasiado,adv,,3
37,1,der,el,func,Artikel m,1
38,1,die,la,func,Artikel f,1
39,1,ein,un,func,Artikel m,1
40,1,eine,una,func,Artikel f,1
41,1,ich,yo,func,,1
42,1,du,vos,func,Rioplatense statt tú,1
43,1,er,él,func,mit Akzent; el = der,2
44,1,sie,ella,func,,2
45,1,"dass / der, die, das",que,func,ohne Akzent; ¿qué? = was,1
46,1,mein,mi,func,,1
47,1,dein,tu,func,"Possessiv zu vos, ohne Akzent",1
48,1,sein / ihr,su,func,,2
49,2,ich bin,soy,verb,yo,1
50,2,du bist,sos,verb,vos,1
51,2,er/sie ist,es,verb,él/ella,1
52,2,ich bin (Zustand / Ort),estoy,verb,yo,1
53,2,du bist (Zustand / Ort),estás,verb,vos,1
54,2,er/sie ist (Zustand / Ort),está,verb,él/ella,1
55,2,ich habe,tengo,verb,yo,1
56,2,du hast,tenés,verb,vos,1
57,2,er/sie hat,tiene,verb,él/ella,1
58,2,ich will / ich möchte,quiero,verb,yo,1
59,2,du willst / du möchtest,querés,verb,vos,1
60,2,er/sie will,quiere,verb,él/ella,2
61,2,ich gehe / ich fahre,voy,verb,yo,1
62,2,du gehst / du fährst,vas,verb,vos,1
63,2,er/sie geht / fährt,va,verb,él/ella,2
64,2,ich kann,puedo,verb,yo,1
65,2,du kannst,podés,verb,vos,1
66,2,er/sie kann,puede,verb,él/ella,2
67,2,ich weiß,sé,verb,yo,1
68,2,du weißt,sabés,verb,vos,2
69,2,er/sie weiß,sabe,verb,él/ella,2
70,2,ich mache,hago,verb,yo,1
71,2,du machst,hacés,verb,vos,1
72,2,er/sie macht,hace,verb,él/ella,2
73,2,ich sage,digo,verb,yo,2
74,2,du sagst,decís,verb,vos,2
75,2,er/sie sagt,dice,verb,él/ella,3
76,2,ich sehe,veo,verb,yo,2
77,2,du siehst,ves,verb,vos,2
78,2,er/sie sieht,ve,verb,él/ella,3
79,2,ich gebe,doy,verb,yo,3
80,2,du gibst,das,verb,vos,2
81,2,er/sie gibt,da,verb,él/ella,3
82,2,ich komme,vengo,verb,yo,2
83,2,du kommst,venís,verb,vos,2
84,2,er/sie kommt,viene,verb,él/ella,2
85,2,ich gehe raus / ich gehe aus,salgo,verb,yo,2
86,2,du gehst raus / du gehst aus,salís,verb,vos,2
87,2,er/sie geht raus / geht aus,sale,verb,él/ella,3
88,2,ich komme an,llego,verb,yo,2
89,2,du kommst an,llegás,verb,vos,2
90,2,er/sie kommt an,llega,verb,él/ella,3
91,2,ich komme zurück,vuelvo,verb,yo,2
92,2,du kommst zurück,volvés,verb,vos,2
93,2,er/sie kommt zurück,vuelve,verb,él/ella,3
